Starting to train (PyTorch).
Iter 0001300: train nll 1.252, valid error 052.950%, best valid error 036.910%, avg grad norm  18.257, avg grad norm (post clip)   1.000, rho_Whh  1.07, Omega  0.02, alpha  2.000, steps in the past 0.010, valid nll 1.253
Iter 0001320: train nll 1.226, valid error 047.180%, best valid error 036.910%, avg grad norm  17.706, avg grad norm (post clip)   1.000, rho_Whh  1.07, Omega  0.02, alpha  2.000, steps in the past 0.010, valid nll 1.226
Iter 0001340: train nll 1.219, valid error 049.160%, best valid error 036.910%, avg grad norm  21.280, avg grad norm (post clip)   1.000, rho_Whh  1.07, Omega  0.02, alpha  2.000, steps in the past 0.010, valid nll 1.203
Iter 0001360: train nll 1.217, valid error 053.290%, best valid error 036.910%, avg grad norm  25.763, avg grad norm (post clip)   1.000, rho_Whh  1.08, Omega  0.02, alpha  2.000, steps in the past 0.010, valid nll 1.211
Iter 0001380: train nll 1.196, valid error 047.050%, best valid error 036.910%, avg grad norm  21.512, avg grad norm (post clip)   1.000, rho_Whh  1.08, Omega  0.02, alpha  2.000, steps in the past 0.010, valid nll 1.155
Iter 0001400: train nll 1.194, valid error 048.170%, best valid error 036.910%, avg grad norm  23.089, avg grad norm (post clip)   1.000, rho_Whh  1.08, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 1.205
Iter 0001420: train nll 1.184, valid error 047.800%, best valid error 036.910%, avg grad norm  25.133, avg grad norm (post clip)   1.000, rho_Whh  1.08, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 1.146
Iter 0001440: train nll 1.186, valid error 050.760%, best valid error 036.910%, avg grad norm  26.931, avg grad norm (post clip)   1.000, rho_Whh  1.08, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 1.165
Iter 0001460: train nll 1.156, valid error 047.810%, best valid error 036.910%, avg grad norm  21.129, avg grad norm (post clip)   1.000, rho_Whh  1.08, Omega  0.02, alpha  2.000, steps in the past 0.010, valid nll 1.136
Iter 0001480: train nll 1.142, valid error 046.130%, best valid error 036.910%, avg grad norm  25.672, avg grad norm (post clip)   1.000, rho_Whh  1.08, Omega  0.02, alpha  2.000, steps in the past 0.010, valid nll 1.150
Iter 0001500: train nll 1.135, valid error 059.380%, best valid error 036.910%, avg grad norm  25.611, avg grad norm (post clip)   1.000, rho_Whh  1.08, Omega  0.02, alpha  2.000, steps in the past 0.010, valid nll 1.202
Iter 0001520: train nll 1.133, valid error 052.940%, best valid error 036.910%, avg grad norm  24.544, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 1.185
Iter 0001540: train nll 1.137, valid error 054.590%, best valid error 036.910%, avg grad norm  30.054, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 1.181
Iter 0001560: train nll 1.131, valid error 047.900%, best valid error 036.910%, avg grad norm  34.347, avg grad norm (post clip)   1.000, rho_Whh  1.08, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 1.112
Iter 0001580: train nll 1.114, valid error 050.730%, best valid error 036.910%, avg grad norm  30.387, avg grad norm (post clip)   1.000, rho_Whh  1.08, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 1.125
Iter 0001600: train nll 1.102, valid error 044.670%, best valid error 036.910%, avg grad norm  29.316, avg grad norm (post clip)   1.000, rho_Whh  1.08, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 1.069
Iter 0001620: train nll 1.087, valid error 052.310%, best valid error 036.910%, avg grad norm  27.296, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 1.162
Iter 0001640: train nll 1.094, valid error 047.960%, best valid error 036.910%, avg grad norm  33.193, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 1.093
Iter 0001660: train nll 1.076, valid error 049.950%, best valid error 036.910%, avg grad norm  32.739, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 1.057
Iter 0001680: train nll 1.064, valid error 057.720%, best valid error 036.910%, avg grad norm  32.710, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 1.117
Iter 0001700: train nll 1.075, valid error 043.300%, best valid error 036.910%, avg grad norm  33.546, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 1.015
Iter 0001720: train nll 1.056, valid error 047.700%, best valid error 036.910%, avg grad norm  30.644, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 1.056
Iter 0001740: train nll 1.046, valid error 050.190%, best valid error 036.910%, avg grad norm  34.942, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 1.077
Iter 0001760: train nll 1.037, valid error 048.240%, best valid error 036.910%, avg grad norm  29.727, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 1.028
Iter 0001780: train nll 1.059, valid error 044.190%, best valid error 036.910%, avg grad norm  36.775, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 1.016
Iter 0001800: train nll 1.033, valid error 047.660%, best valid error 036.910%, avg grad norm  32.771, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 1.022
Iter 0001820: train nll 1.017, valid error 048.030%, best valid error 036.910%, avg grad norm  30.670, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 1.044
Iter 0001840: train nll 1.022, valid error 047.860%, best valid error 036.910%, avg grad norm  36.005, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.991
Iter 0001860: train nll 1.013, valid error 045.010%, best valid error 036.910%, avg grad norm  30.821, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.970
Iter 0001880: train nll 0.997, valid error 045.030%, best valid error 036.910%, avg grad norm  31.258, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.958
Iter 0001900: train nll 0.997, valid error 058.460%, best valid error 036.910%, avg grad norm  30.869, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 1.073
Iter 0001920: train nll 1.023, valid error 047.090%, best valid error 036.910%, avg grad norm  39.276, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.05, alpha  2.000, steps in the past 0.010, valid nll 0.998
Iter 0001940: train nll 1.001, valid error 047.930%, best valid error 036.910%, avg grad norm  35.354, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 0.991
Iter 0001960: train nll 0.987, valid error 048.510%, best valid error 036.910%, avg grad norm  35.468, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.999
